artist_name,start_date,end_date,stage,stage_latitude,stage_longitude,day
Hindia,9/26/23 12.00 AM,9/26/23 1.00 AM,Hingar Bingar,-6.219256549,106.7995374,1
KOIL,9/25/23 3.30 PM,9/25/23 4.15 PM,Boss Stage,-6.217307514,106.8044678,1
Pestapora Aunthenticity Soundroom,9/25/23 3.30 PM,9/25/23 4.15 PM,Riang Gembira,-6.217556546,106.8010231,1
Rendy Pandugo,9/25/23 3.45 PM,9/25/23 4.30 PM,Gegap Gempita,-6.219200841,106.8004699,1
Kanekuro,9/25/23 3.45 PM,9/25/23 4.30 PM,Alternative Stage,-6.220093561,106.7994224,1
Bernadya,9/25/23 3.45 PM,9/25/23 4.30 PM,Hingar Bingar,-6.219256549,106.7995374,1
Isolasido,9/25/23 3.00 PM,9/25/23 6.10 PM,Yes No Klub,-6.216075586,106.8018606,1
Kathmandu,9/25/23 3.55 PM,9/25/23 4.40 PM,Klab Klub,-6.217429041,106.8025604,1
Virgoun,9/25/23 4.30 PM,9/25/23 5.30 PM,Pestapora IM3,-6.217197051,106.7994883,1
RRAG,9/25/23 4.30 PM,9/25/23 5.30 PM,Alternative Stage,-6.220093561,106.7994224,1
Romantic Echoes,9/25/23 4.45 PM,9/25/23 5.30 PM,Riang Gembira,-6.217556546,106.8010231,1
Silampukau,9/25/23 4.45 PM,9/25/23 5.30 PM,Boss Stage,-6.217307514,106.8044678,1
Rizky Febian,9/25/23 5.00 PM,9/25/23 5.45 PM,Gegap Gempita,-6.219200841,106.8004699,1
Dialog Dini Hari,9/25/23 5.00 PM,9/25/23 5.45 PM,Hingar Bingar,-6.219256549,106.7995374,1
Collapse!,9/25/23 5.00 PM,9/25/23 5.45 PM,Klab Klub,-6.217429041,106.8025604,1
Zeal,9/25/23 5.15 PM,9/25/23 5.45 PM,Alternative Stage,-6.220093561,106.7994224,1
Sunset Take Ove: Lair,9/25/23 5.45 PM,9/25/23 6.15 PM,Alternative Stage,-6.220093561,106.7994224,1
Endah n Rhesa,9/25/23 6.00 PM,9/25/23 6.35 PM,Pop Up Stage,-6.217073466,106.807393,1
Fiersa Besari,9/25/23 6.15 PM,9/25/23 7.00 PM,Pestapora IM3,-6.217197051,106.7994883,1
Coldiac,9/25/23 6.15 PM,9/25/23 7.00 PM,Riang Gembira,-6.217556546,106.8010231,1
White Chorus,9/25/23 6.15 PM,9/25/23 7.00 PM,Klab Klub,-6.217429041,106.8025604,1
Indonesia Timur Show: Barry Likumahua,9/25/23 6.15 PM,9/25/23 7.15 PM,Boss Stage,-6.217307514,106.8044678,1
Sky Sucahyo,9/25/23 6.15 PM,9/25/23 6.45 PM,Alternative Stage,-6.220093561,106.7994224,1
Ensemble Tikoro x Rama,9/25/23 6.20 PM,9/25/23 6.50 PM,Yes No Klub,-6.216075586,106.8018606,1
Lyodra,9/25/23 6.40 PM,9/25/23 7.25 PM,Gegap Gempita,-6.219200841,106.8004699,1
G-pluck,9/25/23 7.00 PM,9/25/23 7.45 PM,Hingar Bingar,-6.219256549,106.7995374,1
Moongazing and Her,9/25/23 7.00 PM,9/25/23 7.30 PM,Alternative Stage,-6.220093561,106.7994224,1
Individual Distortion,9/25/23 7.05 PM,9/25/23 7.50 PM,Yes No Klub,-6.216075586,106.8018606,1
"Pesta Modular By Indo Modular x Tuan TigaBelas, Matttermos, Iwa K",9/25/23 7.20 PM,9/25/23 10.20 PM,Klab Klub,-6.217429041,106.8025604,1
"Host: Soleh Solihun, Priska Baru Segu, Aci Resti",9/25/23 7.25 PM,9/25/23 7.55 PM,StandupIndo,-6.220444814,106.8046108,1
Padi Reborn,9/25/23 7.30 PM,9/25/23 8.30 PM,Pestapora IM3,-6.217197051,106.7994883,1
Danilla,9/25/23 7.30 PM,9/25/23 8.15 PM,Riang Gembira,-6.217556546,106.8010231,1
Pee Wee Gaskins,9/25/23 7.45 PM,9/25/23 8.45 PM,Boss Stage,-6.217307514,106.8044678,1
Swellow,9/25/23 7.45 PM,9/25/23 8.15 PM,Alternative Stage,-6.220093561,106.7994224,1
Pamungkas,9/25/23 7.55 PM,9/25/23 8.40 PM,Gegap Gempita,-6.219200841,106.8004699,1
Presiden Tidore,9/25/23 8.05 PM,9/25/23 8.35 PM,Yes No Klub,-6.216075586,106.8018606,1
Stand Here Alone,9/25/23 8.15 PM,9/25/23 9.00 PM,Hingar Bingar,-6.219256549,106.7995374,1
Peonies,9/25/23 8.35 PM,9/25/23 9.05 PM,Alternative Stage,-6.220093561,106.7994224,1
"Host: Soleh Solihun, Gautama Sindu, Rin Hermana",9/25/23 8.40 PM,9/25/23 9.10 PM,StandupIndo,-6.220444814,106.8046108,1
Ardhito Pramono,9/25/23 8.45 PM,9/25/23 9.30 PM,Riang Gembira,-6.217556546,106.8010231,1
Misanthrophy Club,9/25/23 8.50 PM,9/25/23 9.35 PM,Yes No Klub,-6.216075586,106.8018606,1
The Adams,9/25/23 9.00 PM,9/25/23 9.45 PM,Pestapora IM3,-6.217197051,106.7994883,1
Yura Yunita,9/25/23 9.10 PM,9/25/23 9.55 PM,Gegap Gempita,-6.219200841,106.8004699,1
Ungu,9/25/23 9.15 PM,9/25/23 10.00 PM,Boss Stage,-6.217307514,106.8044678,1
Bedchamber,9/25/23 9.15 PM,9/25/23 9.45 PM,Alternative Stage,-6.220093561,106.7994224,1
